中德精英人才共建计划的服务单位是什么?	广东省教育服务有限公司（简称 “粤教服务”）。
广东省教育服务有限公司创办于哪一年?	1981 年。
广东省教育服务有限公司的定位是什么?	省属国有优质教育服务品牌，整合优质教育资源搭建文化教育综合服务平台，致力于服务广东教育事业。
德国职业人才培养模式的核心特点是什么?	双场所培训，职业学校传授专业知识，企业 / 公共事业单位提供职业技能实训。
德国职业教育的培训年限是多久?	根据职业不同，为两年至三年半。
提供德国职业培训的行业有哪些?	手工业、工商业、服务业、自由职业和公共服务业。
德国职业培训生每周的学习安排是怎样的?	每周 3-4 日在企业学习实践和手工技能，8-12 课时在职课程（含专业课程、德语、政治、体育等通识课程）。
德国职业培训的费用由谁承担？培训生有无酬金?	费用由企业和国家共同承担；企业每月向培训生发放酬金，国家承担职业学校开支。
中德精英人才共建计划的三大优势是什么?	省属教育国企直接签协议、银行全额低息贷款、国内外全程保姆式服务。
该项目报名年龄要求是多少?	18-35 岁。
报名该项目的学历要求是什么?	高中及以上学历。
报名者需具备哪些能力和背景条件?	动手能力强、逻辑思维强、无犯罪记录，有一定德语学习和表达能力。
该项目涵盖哪些专业类别?	医疗健康类、机械制造类、商贸会计类、电子电器类、汽车服务类、酒店管理类。
出国前的办理流程有哪些?	①填写申请表格、准备材料、预审；②签署服务协议、缴纳报名费；③面试和动手能力测试；④国内考取德语 B1 后匹配德国企业并面试；⑤面试合格（获职业培训合同）后办理签证；⑥赴德前培训、购买机票。
入德后的办理流程有哪些?	①落地服务（接机、住宿、保险、银行开户等）；②企业入职、开始职业培训；③职业学校报到、学习理论知识；④考取 IHK/HWK 证书，签正式劳动合同或升学；⑤工作两年后可申请德国永居。
该项目是否需要缴纳学费?	免学费，无学费、无学籍注册费。
职业培训期间培训生有无补贴？以机电一体化专业为例，三年补贴总额多少?	有津贴补贴；第一年 880 欧 / 月，第二年 950 欧 / 月，第三年 1030 欧 / 月，三年合计 34320 欧（折合人民币 275000 元）。
完成培训后就业有保障吗？薪资范围是多少?	保就业，可与实习企业签正式劳动合同，平均薪资 2100-3500 欧 / 月。
完成职业培训后能否升学？有哪些便利?	可申请德国大学，免德福、免 APS 审核。
在德国工作多久可申请永居?	连续工作五年可申请德国永居，项目中工作两年后也可申请。
学员培训期间有无跟踪服务?	有，全程跟踪，专业老师定期和家长沟通反馈学员情况。
项目签约环节提供什么服务?	推荐并安排学员根据专业签约适合企业，多家企业双向选择。
签证环节提供哪些服务?	签证申请材料准备、签证流程指导。
赴德前培训包含什么内容?	离境赴德前辅导（衣食住行常识）。
入职环节有哪些服务?	协助到实习企业报道、开展职业培训，办理职业学校理论学习报到。
培训期间的管理服务包含什么?	专职老师全程辅导学员生活、学习、工作。
培训期间如何和家长沟通?	专职老师定期向家长反馈学员生活、学习、工作情况。
是否有帮助学员融入德国的活动?	不定期组织各类文化交流活动。
培训结束后就业如何安排?	安排学员进入实习企业正式工作。
想升学的学员有什么规划服务?	专职老师提供专业升学指导。
德国职业资格证书由谁组织考试?	行业协会，德国工商业联合 IHK / 手工业协会 HWK 是核心协会。
IHK/HWK 证书的认可度如何?	国际影响力强，持有者在欧洲及其他国家的工作能力受企业高度认可。
德语培训的目标和时长是什么?	线下封闭式实训 6-12 个月，达到欧标 B1 水平，线下学习 2 年有效期。
德语培训的特点有哪些?	全脱产沉浸式强化集训、校内封闭严格管理、定制课程、循环课堂、面试辅导、高频互动、分层教学、海量题库。
